May the first puzzle be small, the first success be quick, and the first reader want a second.	docs-geode/edu/yonder/README.md
May the keys you hold stay yours, and every signature carry your name in good faith.	foundations/the-key-you-hold
May the things we build do no harm, speak the truth, hold lightly, and stay kind.	foundations/four-promises
May the places we work stay calm and portable, and the tools we keep there be few, sharp, and truly ours.	foundations/a-home-in-plain-text
May the rooms we keep stay open, the knowledge in them stay free, and every visitor find exactly what they came for.	foundations/a-free-and-open-room
May your learning stay open, your steps stay honest, and your curiosity outlast every finish line.	foundations/an-open-way-to-learn
May each day keep its shape — time to learn, to build, to gather, and to rest — season after season.	foundations/the-shape-of-a-day
May the center stay fast and the lap stay thin. May every seam carry its two small answers.	foundations/happy-zone-thin-edge
May the why stay in view beneath the how. May the work remain an offering.	foundations/README
May the play stay powerful, the identity stay real, and the verse we contribute be worth the hearing — line by witnessed line.	foundations/the-verse
May the season stay open as long as the work is alive. May each thing we do have all of us while we do it.	foundations/always-in-it
May every learner be met exactly where they stand.	foundations/the-learning-chapter
May we choose the paths that have heart, and leave the rest with open hands.	foundations/the-heart-in-the-work
May the work stay an offering, made with care and held lightly.	foundations/the-foundation-beneath
May the tools we carry hold lightly, protect quietly, and give our attention back to us, whole.	foundations/the-device-that-forgets
May we live with joy, and build so that joy is easy to find.	foundations/anywhere-we-are-found
May the compass always point home to strands we already trust.	foundations/follow-our-compass
May every motion we make be one we declared first.	foundations/the-breach
May we measure the whole rather than the hour.	foundations/output-over-activity
May the record stay sovereign and the wire stay glad to serve it.	foundations/the-wire-serves-the-fold
